snapshot_date,rank,name,symbol,market_cap,price,circulating,volume_24h
2021-01-04,1,BTCBitcoin,BTC,"$594,384,025,390.86","$31,971.91","18,590,818BTC","$81,163,475,344.18"
2021-01-04,3,USDTTether,USDT,"$21,811,422,497.10",$1.0001,"21,808,636,250USDT*","$125,906,387,010.61"
2021-01-04,4,XRPXRP,XRP,"$10,746,094,508.00",$0.2367,"45,404,028,640XRP*","$6,141,918,380.17"
2021-01-04,5,LTCLitecoin,LTC,"$10,254,764,750.43",$154.81,"66,242,118LTC","$13,659,785,704.44"
2021-01-04,6,DOTPolkadot,DOT,"$8,492,158,902.71",$9.4696,"896,780,104DOT*","$2,893,262,629.71"
2021-01-04,7,BCHBitcoin Cash,BCH,"$7,587,978,844.81",$407.94,"18,600,863BCH","$8,597,472,425.97"
2021-01-04,8,ADACardano,ADA,"$6,992,916,199.00",$0.2248,"31,112,484,646ADA","$3,260,699,085.91"
2021-01-04,9,BNBBinance Coin,BNB,"$5,910,034,133.61",$40.93,"144,406,561BNB*","$807,877,170.68"
2021-01-04,10,LINKChainlink,LINK,"$5,421,769,474.81",$13.57,"399,509,556LINK*","$2,926,793,268.15"
2021-01-04,11,USDCUSD Coin,USDC,"$4,278,604,358.56",$0.9994,"4,281,292,230USDC*","$2,201,035,266.85"
2021-01-04,13,XLMStellar,XLM,"$3,621,839,340.12",$0.1652,"21,926,609,691XLM*","$1,650,893,149.73"
2021-01-04,24,CELCelsius,CEL,"$1,432,326,188.35",$5.9964,"238,863,520 CEL","$22,323,041.84"
2021-01-04,14,BSVBitcoin SV,BSV,"$3,119,837,347.21",$167.59,"18,616,089BSV","$936,306,772.34"
2021-01-04,15,EOSEOS,EOS,"$2,639,431,729.36",$2.8103,"939,196,428EOS*","$4,592,899,151.74"
2021-01-04,16,XMRMonero,XMR,"$2,378,729,311.48",$133.60,"17,804,490XMR","$1,098,283,687.04"
2021-01-04,17,TRXTRON,TRX,"$2,210,899,235.15",$0.03085,"71,659,657,369TRX*","$1,768,802,419.99"
2021-01-04,18,THETATHETA,THETA,"$1,960,264,023.00",$1.9603,"1,000,000,000THETA*","$218,310,001.90"
2021-01-04,19,XEMNEM,XEM,"$1,843,313,599.23",$0.2048,"8,999,999,999XEM*","$178,336,250.71"
2021-01-04,20,XTZTezos,XTZ,"$1,746,540,592.92",$2.3112,"755,678,559XTZ*","$376,283,723.19"
2021-01-04,21,VETVeChain,VET,"$1,586,334,769.19",$0.02466,"64,315,576,989 VET *","$550,104,074.98"
2021-01-04,22,CROCrypto.com Coin,CRO,"$1,473,600,719.40",$0.06543,"22,521,461,186 CRO *","$125,552,235.96"
2021-01-04,23,UNIUniswap,UNI,"$1,454,876,039.82",$5.4066,"269,094,310 UNI *","$3,707,353,731.00"
2021-01-04,50,EGLDElrond,EGLD,"$508,818,617.57",$30.63,"16,611,815 EGLD","$107,701,273.39"
2021-01-04,25,AAVEAave,AAVE,"$1,339,476,346.34",$111.13,"12,053,017 AAVE *","$619,262,373.13"
